"tanggal","provinsi","kelompok_umur","jumlah"
"2021-03-24","DKI JAKARTA","x0_5",11378
"2021-03-24","DKI JAKARTA","x6_18",31875
"2021-03-24","DKI JAKARTA","x19_30",94747
"2021-03-24","DKI JAKARTA","x31_45",109634
"2021-03-24","DKI JAKARTA","x46_59",78548
"2021-03-24","DKI JAKARTA","x60_up",40468
"2021-03-24","DKI JAKARTA","tidak_diketahui",7111
"2021-03-24","JAWA BARAT","x0_5",8089
"2021-03-24","JAWA BARAT","x6_18",28012
"2021-03-24","JAWA BARAT","x19_30",58587
"2021-03-24","JAWA BARAT","x31_45",67580
"2021-03-24","JAWA BARAT","x46_59",51711
"2021-03-24","JAWA BARAT","x60_up",21758
"2021-03-24","JAWA BARAT","tidak_diketahui",8012
"2021-03-24","JAWA TENGAH","x0_5",4730
"2021-03-24","JAWA TENGAH","x6_18",16413
"2021-03-24","JAWA TENGAH","x19_30",38349
"2021-03-24","JAWA TENGAH","x31_45",44731
"2021-03-24","JAWA TENGAH","x46_59",39770
"2021-03-24","JAWA TENGAH","x60_up",22026
"2021-03-24","JAWA TENGAH","tidak_diketahui",248
"2021-03-24","JAWA TIMUR","x0_5",2434
"2021-03-24","JAWA TIMUR","x6_18",9236
"2021-03-24","JAWA TIMUR","x19_30",26359
"2021-03-24","JAWA TIMUR","x31_45",37398
"2021-03-24","JAWA TIMUR","x46_59",39594
"2021-03-24","JAWA TIMUR","x60_up",21498
"2021-03-24","JAWA TIMUR","tidak_diketahui",958
"2021-03-24","KALIMANTAN TIMUR","x0_5",1746
"2021-03-24","KALIMANTAN TIMUR","x6_18",5180
"2021-03-24","KALIMANTAN TIMUR","x19_30",16421
"2021-03-24","KALIMANTAN TIMUR","x31_45",20425
"2021-03-24","KALIMANTAN TIMUR","x46_59",11822
"2021-03-24","KALIMANTAN TIMUR","x60_up",4200
"2021-03-24","KALIMANTAN TIMUR","tidak_diketahui",2367
"2021-03-24","SULAWESI SELATAN","x0_5",1279
"2021-03-24","SULAWESI SELATAN","x6_18",4606
"2021-03-24","SULAWESI SELATAN","x19_30",16449
"2021-03-24","SULAWESI SELATAN","x31_45",18267
"2021-03-24","SULAWESI SELATAN","x46_59",10725
"2021-03-24","SULAWESI SELATAN","x60_up",4816
"2021-03-24","SULAWESI SELATAN","tidak_diketahui",3075
"2021-03-24","BALI","x0_5",842
"2021-03-24","BALI","x6_18",3182
"2021-03-24","BALI","x19_30",9335
"2021-03-24","BALI","x31_45",9908
"2021-03-24","BALI","x46_59",9757
"2021-03-24","BALI","x60_up",5036
"2021-03-24","BALI","tidak_diketahui",466
"2021-03-24","BANTEN","x0_5",941
"2021-03-24","BANTEN","x6_18",3545
"2021-03-24","BANTEN","x19_30",8906
"2021-03-24","BANTEN","x31_45",10743
"2021-03-24","BANTEN","x46_59",8388
"2021-03-24","BANTEN","x60_up",2970
"2021-03-24","BANTEN","tidak_diketahui",103
"2021-03-24","RIAU","x0_5",1255
